node	length	covered_bases	depth
1	25	136.00000000	5.44
2	1	8.00000000	8
3	1	0.00000000	0
4	1	8.00000000	8
5	3	24.00000000	8
6	3	0.00000000	0
7	1	8.00000000	8
8	2	18.00000000	9
9	1	0.00000000	0
10	32	480.00000000	15
11	1	0.00000000	0
12	1	15.00000000	15
13	13	208.00000000	16
14	1	16.00000000	16
15	1	0.00000000	0
16	37	851.00000000	23
17	4	92.00000000	23
18	5	0.00000000	0
19	1	23.00000000	23
20	3	72.00000000	24
21	3	0.00000000	0
22	32	992.00000000	31
23	1	31.00000000	31
24	1	0.00000000	0
25	32	1248.00000000	39
26	1	39.00000000	39
27	1	0.00000000	0
28	248	5986.00000000	24.13709677
29	1	19.00000000	19
30	1	0.00000000	0
31	196	4362.50000000	22.25765306
32	3	93.00000000	31
33	1	30.00000000	30
34	2	60.00000000	30
35	2	0.00000000	0
36	2	58.00000000	29
37	2	0.00000000	0
38	3	84.00000000	28
39	1	0.00000000	0
40	1	28.00000000	28
41	5	0.00000000	0
42	2	0.00000000	0
43	1	28.00000000	28
44	1	28.00000000	28
45	1	0.00000000	0
46	1	28.00000000	28
47	1	26.00000000	26
48	1	0.00000000	0
49	1	26.00000000	26
50	1	25.00000000	25
51	1	25.00000000	25
52	1	0.00000000	0
53	2	52.00000000	26
54	1	25.00000000	25
55	1	0.00000000	0
56	2	50.00000000	25
57	5	120.00000000	24
58	5	0.00000000	0
59	1	25.00000000	25
60	5	130.00000000	26
61	1	26.00000000	26
62	2	0.00000000	0
63	6	0.00000000	0
64	3	78.00000000	26
65	1	25.00000000	25
66	1	25.00000000	25
67	1	0.00000000	0
68	1	25.00000000	25
69	2	50.00000000	25
70	2	0.00000000	0
71	57	1669.00000000	29.28070175
72	1	27.00000000	27
73	1	0.00000000	0
74	137	2403.00000000	17.54014599
75	1	14.00000000	14
76	1	0.00000000	0
77	99	1798.50000000	18.16666667
78	1	0.00000000	0
79	2	46.00000000	23
80	3	69.00000000	23
81	3	0.00000000	0
82	1	23.00000000	23
83	2	46.00000000	23
84	2	0.00000000	0
85	1	22.00000000	22
86	2	44.00000000	22
87	2	0.00000000	0
88	1	23.00000000	23
89	1	23.00000000	23
90	1	0.00000000	0
91	1	24.00000000	24
92	3	69.00000000	23
93	3	0.00000000	0
94	1	23.00000000	23
95	2	48.00000000	24
96	2	0.00000000	0
97	27	664.00000000	24.59259259
98	1	24.00000000	24
99	1	0.00000000	0
100	1	0.00000000	0
101	1	0.00000000	0
102	82	2214.50000000	27.00609756
103	20	0.00000000	0
104	1	0.00000000	0
105	1	0.00000000	0
106	77	222.00000000	2.883116883
107	89	979.00000000	11
108	1	35.00000000	35
109	62	1528.00000000	24.64516129
110	1	0.00000000	0
111	1	21.00000000	21
112	20	408.00000000	20.4
113	1	19.00000000	19
114	1	0.00000000	0
115	173	1740.00000000	10.05780347
116	4	81.00000000	20.25
117	1	8.00000000	8
118	1	11.00000000	11
119	2	40.00000000	20
120	1	9.00000000	9
121	1	11.00000000	11
122	2	40.00000000	20
123	95	0.00000000	0
124	1	20.00000000	20
125	1	9.00000000	9
126	1	11.00000000	11
127	1	20.00000000	20
128	1	9.00000000	9
129	1	11.00000000	11
130	1	20.00000000	20
131	1	9.00000000	9
132	1	11.00000000	11
133	2	40.00000000	20
134	1	9.00000000	9
135	1	0.00000000	0
136	18	170.00000000	9.444444444
137	4	80.00000000	20
138	3	27.00000000	9
139	3	33.00000000	11
140	4	80.00000000	20
141	19	209.00000000	11
142	2	36.00000000	18
143	1	9.00000000	9
144	1	9.00000000	9
145	1	18.00000000	18
146	1	9.00000000	9
147	1	9.00000000	9
148	5	90.00000000	18
149	1	9.00000000	9
150	1	7.00000000	7
151	2	32.00000000	16
152	1	9.00000000	9
153	1	7.00000000	7
154	4	64.00000000	16
155	2	18.00000000	9
156	1	6.00000000	6
157	1	15.00000000	15
158	2	18.00000000	9
159	2	12.00000000	6
160	4	60.00000000	15
161	1	9.00000000	9
162	1	5.00000000	5
163	1	14.00000000	14
164	2	18.00000000	9
165	2	10.00000000	5
166	1	14.00000000	14
167	5	45.00000000	9
168	5	25.00000000	5
169	1	13.00000000	13
170	1	9.00000000	9
171	1	4.00000000	4
172	4	48.00000000	12
173	2	18.00000000	9
174	2	6.00000000	3
175	1	12.00000000	12
176	1	9.00000000	9
177	2	6.00000000	3
178	7	77.00000000	11
179	2	18.00000000	9
180	2	4.00000000	2
181	3	30.00000000	10
182	1	0.00000000	0
183	1	10.00000000	10
184	1	9.00000000	9
185	1	1.00000000	1
186	1	8.00000000	8
187	1	8.00000000	8
188	1	0.00000000	0
189	2	16.00000000	8
190	17	136.00000000	8
191	2	14.00000000	7
192	1	0.00000000	0
193	1	7.00000000	7
194	1	7.00000000	7
195	1	0.00000000	0
196	2	14.00000000	7
197	1	7.00000000	7
198	1	0.00000000	0
199	2	14.00000000	7
200	2	14.00000000	7
201	2	0.00000000	0
202	2	14.00000000	7
203	1	7.00000000	7
204	88	0.00000000	0
205	2	14.00000000	7
206	1	7.00000000	7
207	1	0.00000000	0
208	3	21.00000000	7
209	3	21.00000000	7
210	3	0.00000000	0
211	1	7.00000000	7
212	2	14.00000000	7
213	2	0.00000000	0
214	1	7.00000000	7
215	2	14.00000000	7
216	2	0.00000000	0
217	25	166.00000000	6.64
218	2	10.00000000	5
219	2	0.00000000	0
220	3	15.00000000	5
221	1	5.00000000	5
222	1	0.00000000	0
223	1	5.00000000	5
224	5	25.00000000	5
225	5	0.00000000	0
226	25	63.50000000	2.54
227	1	2.00000000	2
228	1	0.00000000	0
229	1	2.00000000	2
230	2	4.00000000	2
231	2	0.00000000	0
232	1	2.00000000	2
233	2	2.00000000	1
234	2	0.00000000	0
235	2	2.00000000	1
236	1	1.00000000	1
237	1	0.00000000	0
238	1	1.00000000	1
239	1	1.00000000	1
240	1	0.00000000	0
241	1	1.00000000	1
242	2	0.00000000	0
243	2	0.00000000	0
244	1	1.00000000	1
245	3	3.00000000	1
246	3	0.00000000	0
247	1	1.00000000	1
248	1	1.00000000	1
249	1	0.00000000	0
250	2	2.00000000	1
251	2	0.00000000	0
252	1	1.00000000	1
253	5	5.00000000	1
254	5	0.00000000	0
255	14	14.00000000	1
256	1	1.00000000	1
257	1	0.00000000	0
258	48	104.50000000	2.177083333
259	1	4.00000000	4
260	1	0.00000000	0
261	10	40.00000000	4
262	2	0.00000000	0
263	2	8.00000000	4
264	2	0.00000000	0
265	2	8.00000000	4
266	1	4.00000000	4
267	2	0.00000000	0
268	2	8.00000000	4
269	2	8.00000000	4
270	1	0.00000000	0
271	1	4.00000000	4
272	1	4.00000000	4
273	1	0.00000000	0
274	13	52.00000000	4
275	5	20.00000000	4
276	1	4.00000000	4
277	1	4.00000000	4
278	2	0.00000000	0
279	2	8.00000000	4
280	5	20.00000000	4
281	2	0.00000000	0
282	2	8.00000000	4
283	2	8.00000000	4
284	1	0.00000000	0
285	1	4.00000000	4
286	3	0.00000000	0
287	3	12.00000000	4
288	1	4.00000000	4
289	4	0.00000000	0
290	4	4.00000000	1
291	1	1.00000000	1
292	2	0.00000000	0
293	1	1.00000000	1
294	3	12.00000000	4
295	1	1.00000000	1
296	1	4.00000000	4
297	1	4.00000000	4
298	2	6.00000000	3
299	2	2.00000000	1
300	1	4.00000000	4
301	1	4.00000000	4
302	1	3.00000000	3
303	1	1.00000000	1
304	1	4.00000000	4
305	1	4.00000000	4
306	2	2.00000000	1
307	1	0.00000000	0
308	2	6.00000000	3
309	1	4.00000000	4
310	1	3.00000000	3
311	1	1.00000000	1
312	1	0.00000000	0
313	1	4.00000000	4
314	2	6.00000000	3
315	1	3.00000000	3
316	2	2.00000000	1
317	1	1.00000000	1
318	2	8.00000000	4
319	1	3.00000000	3
320	1	1.00000000	1
321	1	4.00000000	4
322	2	6.00000000	3
323	2	2.00000000	1
324	1	4.00000000	4
325	3	9.00000000	3
326	3	3.00000000	1
327	1	4.00000000	4
328	2	6.00000000	3
329	1	4.00000000	4
330	4	0.00000000	0
331	1	4.00000000	4
332	4	12.00000000	3
333	4	4.00000000	1
334	4	16.00000000	4
335	5	15.00000000	3
336	5	5.00000000	1
337	3	15.00000000	5
338	1	3.00000000	3
339	1	2.00000000	2
340	1	5.00000000	5
341	1	0.00000000	0
342	1	5.00000000	5
343	2	10.00000000	5
344	1	0.00000000	0
345	1	5.00000000	5
346	2	10.00000000	5
347	2	0.00000000	0
348	2	10.00000000	5
349	1	5.00000000	5
350	1	0.00000000	0
351	4	16.00000000	4
352	32	101.50000000	3.171875
353	1	2.00000000	2
354	1	0.00000000	0
355	40	59.00000000	1.475
356	2	2.00000000	1
357	2	0.00000000	0
358	2	2.00000000	1
359	1	1.00000000	1
360	1	0.00000000	0
361	1	1.00000000	1
362	1	1.00000000	1
363	1	0.00000000	0
364	1	1.00000000	1
365	2	2.00000000	1
366	2	0.00000000	0
367	1	1.00000000	1
368	3	3.00000000	1
369	3	0.00000000	0
370	2	2.00000000	1
371	2	2.00000000	1
372	2	0.00000000	0
373	1	1.00000000	1
374	10	10.00000000	1
375	10	0.00000000	0
376	31	31.00000000	1
377	1	1.00000000	1
378	1	0.00000000	0
379	7	7.00000000	1
380	1	1.00000000	1
381	1	0.00000000	0
382	116	39.00000000	0.3362068966
383	1	0.00000000	0
384	1	0.00000000	0
385	18	0.00000000	0
386	3	0.00000000	0
387	1	0.00000000	0
388	1	0.00000000	0
389	1	0.00000000	0
390	1	0.00000000	0
391	1	0.00000000	0
392	1	0.00000000	0
393	3	0.00000000	0
394	1	0.00000000	0
395	1	0.00000000	0
396	1	0.00000000	0
397	1	0.00000000	0
398	1	0.00000000	0
399	2	0.00000000	0
400	2	0.00000000	0
401	104	0.00000000	0
402	1	0.00000000	0
403	1	0.00000000	0
404	1	0.00000000	0
405	1	0.00000000	0
406	1	0.00000000	0
407	1	0.00000000	0
408	1	0.00000000	0
409	4	0.00000000	0
410	1	0.00000000	0
411	4	0.00000000	0
412	1	0.00000000	0
413	1	0.00000000	0
414	1	0.00000000	0
415	1	0.00000000	0
416	1	0.00000000	0
417	1	0.00000000	0
418	1	0.00000000	0
419	1	0.00000000	0
420	1	0.00000000	0
421	5	0.00000000	0
422	1	0.00000000	0
423	1	0.00000000	0
424	1	0.00000000	0
425	1	0.00000000	0
426	1	0.00000000	0
427	1	0.00000000	0
428	1	0.00000000	0
429	1	0.00000000	0
430	1	0.00000000	0
431	1	0.00000000	0
432	3	0.00000000	0
433	1	0.00000000	0
434	1	0.00000000	0
435	1	0.00000000	0
436	1	0.00000000	0
437	1	0.00000000	0
438	1	0.00000000	0
439	3	0.00000000	0
440	1	0.00000000	0
441	1	0.00000000	0
442	101	0.00000000	0
443	52	0.00000000	0
444	2	0.00000000	0
445	1	0.00000000	0
446	110	0.00000000	0
447	6	0.00000000	0
448	3	0.00000000	0
449	2	0.00000000	0
450	2	0.00000000	0
451	1	0.00000000	0
452	4	0.00000000	0
453	4	0.00000000	0
454	1	0.00000000	0
455	1	0.00000000	0
456	1	0.00000000	0
457	1	0.00000000	0
458	1	0.00000000	0
459	1	0.00000000	0
460	2	0.00000000	0
461	7	0.00000000	0
462	7	0.00000000	0
463	1	0.00000000	0
464	2	0.00000000	0
465	2	0.00000000	0
466	1	0.00000000	0
467	3	0.00000000	0
468	3	0.00000000	0
469	38	0.00000000	0
470	3	0.00000000	0
471	3	0.00000000	0
472	34	0.00000000	0
473	1	0.00000000	0
474	1	0.00000000	0
475	4	0.00000000	0
476	1	0.00000000	0
477	6	0.00000000	0
478	6	0.00000000	0
479	1	0.00000000	0
480	1	0.00000000	0
481	1	0.00000000	0
482	1	0.00000000	0
483	3	0.00000000	0
484	3	0.00000000	0
485	1	0.00000000	0
486	5	0.00000000	0
487	5	0.00000000	0
488	1	0.00000000	0
489	1	0.00000000	0
490	1	0.00000000	0
491	1	0.00000000	0
492	5	0.00000000	0
493	5	0.00000000	0
494	1	0.00000000	0
495	1	0.00000000	0
496	2	0.00000000	0
497	2	0.00000000	0
498	2	0.00000000	0
499	1	0.00000000	0
500	6	0.00000000	0
501	6	0.00000000	0
502	1	0.00000000	0
503	6	0.00000000	0
504	6	0.00000000	0
505	1	0.00000000	0
506	1	0.00000000	0
507	1	0.00000000	0
508	2	0.00000000	0
